opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.01,0.01,0.001,5,1.0,59.8,11.677328461596,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,50.0,9.02219485491197,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,0.8,62.2,22.968674319603213,0.2,0.0,0.8,0.0
0.01,0.01,0.01,4,0.9,58.2,20.551398979144945,0.1,0.0,0.9,0.0
0.01,0.01,0.02,5,0.9,59.2,20.67268729507608,0.1,0.0,0.9,0.0
0.01,0.01,0.05,5,1.0,61.8,14.804053498957641,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,0.9,56.2,20.80288441538817,0.1,0.0,0.9,0.0
0.02,0.02,0.002,5,0.8,56.6,22.244999438075965,0.2,0.0,0.8,0.0
0.02,0.02,0.005,5,1.0,53.5,9.922197337283713,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,51.6,14.1718029904455,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,0.9,53.6,18.347751905887545,0.1,0.0,0.9,0.0
0.02,0.02,0.05,5,1.0,55.8,11.061645447219867,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,1.0,55.5,18.424168909342967,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,60.7,15.205591076969023,0.0,0.0,1.0,0.0
0.05,0.05,0.005,6,1.0,50.8,12.424169992397882,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,54.8,20.556264252047352,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,1.0,51.3,11.144954015158609,0.0,0.0,1.0,0.0
0.05,0.05,0.05,5,1.0,61.8,21.446678064446253,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,50.9,13.156367279762296,0.0,0.0,1.0,0.0
0.1,0.1,0.002,5,1.0,48.1,12.621014222319852,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,0.9,51.6,20.065891457894413,0.1,0.0,0.9,0.0
0.1,0.1,0.01,5,1.0,56.0,15.70350279396288,0.0,0.0,0.9,0.1
0.1,0.1,0.02,5,1.0,64.3,8.112336284942828,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,0.9,56.3,21.730393461693232,0.1,0.0,0.9,0.0
0.2,0.2,0.001,4,1.0,52.0,11.072488428533127,0.0,0.0,1.0,0.0
0.2,0.2,0.002,5,0.9,70.2,19.130081024397153,0.1,0.0,0.8,0.1
0.2,0.2,0.005,5,1.0,55.9,8.190848551890092,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,1.0,52.9,13.604778572251737,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,0.9,59.4,15.4544491975612,0.1,0.0,0.9,0.0
0.2,0.2,0.05,5,1.0,55.5,12.690547663517126,0.0,0.0,1.0,0.0
0.5,0.5,0.001,5,1.0,48.2,14.323407415835103,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,55.2,19.943921379708655,0.0,0.0,1.0,0.0
