opinion_param_1,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.5,0.7,3.0,0.0,13.2,3.789459064299283,0.0,1.0,0.0,0.0
0.5,0.8,3.0,0.0,11.4,2.0591260281974,0.0,1.0,0.0,0.0
0.5,0.9,3.0,0.0,12.1,1.9209372712298547,0.0,1.0,0.0,0.0
0.8,0.05,3.0,0.0,12.5,2.5787593916455256,0.0,1.0,0.0,0.0
0.8,0.1,3.0,0.0,11.1,1.57797338380595,0.0,1.0,0.0,0.0
0.8,0.2,3.0,0.0,9.9,1.6401219466856727,0.0,1.0,0.0,0.0
0.8,0.3,3.0,0.0,11.5,1.746424919657298,0.0,1.0,0.0,0.0
0.8,0.4,3.0,0.0,11.5,2.0615528128088303,0.0,1.0,0.0,0.0
0.8,0.5,3.0,0.0,11.2,2.0396078054371136,0.0,1.0,0.0,0.0
0.8,0.6,3.0,0.0,12.3,2.491987158875422,0.0,1.0,0.0,0.0
0.8,0.7,3.0,0.0,11.7,2.0024984394500787,0.0,1.0,0.0,0.0
0.8,0.8,3.0,0.0,11.5,2.5,0.0,1.0,0.0,0.0
0.8,0.9,3.0,0.0,11.6,2.244994432064365,0.0,1.0,0.0,0.0
1.0,0.05,3.0,0.0,11.8,1.7776388834631176,0.0,1.0,0.0,0.0
1.0,0.1,3.0,0.0,10.8,1.5999999999999999,0.0,1.0,0.0,0.0
1.0,0.2,3.0,0.0,11.6,1.9595917942265424,0.0,1.0,0.0,0.0
1.0,0.3,3.0,0.0,11.3,1.6155494421403511,0.0,1.0,0.0,0.0
1.0,0.4,3.0,0.0,11.4,2.0591260281974,0.0,1.0,0.0,0.0
1.0,0.5,3.0,0.0,11.8,1.661324772583615,0.0,1.0,0.0,0.0
1.0,0.6,3.0,0.0,12.7,2.5317977802344322,0.0,1.0,0.0,0.0
1.0,0.7,3.0,0.0,11.0,2.0976176963403033,0.0,1.0,0.0,0.0
1.0,0.8,3.0,0.0,11.5,1.6881943016134133,0.0,1.0,0.0,0.0
1.0,0.9,3.0,0.0,11.9,2.022374841615669,0.0,1.0,0.0,0.0
