opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.1,0.1,0.001,5,1.0,42.5,10.229858259037611,0.0,0.0,1.0,0.0
0.1,0.1,0.002,5,1.0,50.1,17.728226081590904,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,42.3,10.854031509075325,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,42.6,9.820386957752735,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,1.0,44.2,14.434680460612906,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,45.3,12.272326592785902,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,1.0,44.8,12.464349160706307,0.0,0.0,1.0,0.0
0.2,0.2,0.002,5,1.0,48.1,15.58492861709671,0.0,0.0,1.0,0.0
0.2,0.2,0.005,4,0.9,49.6,18.051038751274124,0.1,0.0,0.9,0.0
0.2,0.2,0.01,5,1.0,58.1,17.529689101635544,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,43.8,11.948221624995076,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,43.8,7.372923436466705,0.0,0.0,1.0,0.0
0.5,0.5,0.001,5,1.0,39.6,9.079647570252934,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,44.1,17.29421868717983,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,1.0,43.5,8.188406438373708,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,0.9,46.0,19.110206696946005,0.1,0.0,0.9,0.0
0.5,0.5,0.02,5,1.0,45.5,4.8218253804964775,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,51.2,18.164801127455263,0.0,0.0,1.0,0.0
1,1,0.001,5,1.0,43.4,12.86234815265082,0.0,0.0,1.0,0.0
1,1,0.002,5,1.0,45.6,6.036555309114628,0.0,0.0,1.0,0.0
1,1,0.005,6,1.0,57.6,16.119553343687908,0.0,0.0,1.0,0.0
1,1,0.01,6,1.0,43.3,7.603288762108145,0.0,0.0,1.0,0.0
1,1,0.02,5,1.0,45.3,9.950376877284599,0.0,0.0,1.0,0.0
1,1,0.05,5,0.9,51.1,18.05796223276591,0.1,0.0,0.9,0.0
0.01,0.01,0.001,5,1.0,54.6,18.92194493174526,0.0,0.0,1.0,0.0
0.01,0.01,0.002,4,1.0,47.4,12.32233744059949,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,44.7,18.160671793741553,0.0,0.0,1.0,0.0
0.01,0.01,0.01,6,1.0,41.4,10.02197585309404,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,45.4,13.972830779766854,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,49.7,19.25123372669918,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,47.1,13.087780560507575,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,1.0,44.1,13.51628647225265,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,45.9,14.996332885075606,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,44.7,6.4815121692395214,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,1.0,42.5,7.459892760623306,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,0.9,57.7,19.545076106272905,0.1,0.0,0.9,0.0
0.05,0.05,0.001,5,1.0,47.5,13.618002790424152,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,39.7,8.379140767405689,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,50.7,12.19877042984251,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,44.0,11.242775458044157,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,0.9,52.6,22.35710177997139,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,1.0,42.7,11.790250209389113,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,0.9,51.7,19.9,0.1,0.0,0.9,0.0
0.1,0.1,0.002,5,1.0,42.0,7.64198926981712,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,44.8,11.106754701531855,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,49.1,16.627988453207443,0.0,0.0,1.0,0.0
0.1,0.1,0.02,7,1.0,42.8,13.029197979921866,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,1.0,45.0,15.981239000778382,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,1.0,47.8,13.317657451669193,0.0,0.0,1.0,0.0
0.2,0.2,0.002,4,1.0,45.2,15.835403373454053,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,1.0,44.1,12.972663566130127,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,1.0,45.4,3.2924155266308657,0.0,0.0,1.0,0.0
0.2,0.2,0.02,4,1.0,49.2,15.44538766104626,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,47.6,7.405403432629447,0.0,0.0,1.0,0.0
0.5,0.5,0.001,5,1.0,43.8,12.375782803523986,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,44.2,8.62322445492404,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,0.9,50.7,20.184399916767404,0.1,0.0,0.9,0.0
0.5,0.5,0.01,5,1.0,47.8,7.507329751649384,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,51.7,17.193312653470826,0.0,0.0,1.0,0.0
0.5,0.5,0.05,6,1.0,49.2,10.11731189595339,0.0,0.0,1.0,0.0
1,1,0.001,5,1.0,47.2,13.189389675038038,0.0,0.0,1.0,0.0
1,1,0.002,5,1.0,48.2,10.777754868245983,0.0,0.0,1.0,0.0
1,1,0.005,5,1.0,47.4,18.478095139921756,0.0,0.0,1.0,0.0
1,1,0.01,5,1.0,48.8,16.454786537661313,0.0,0.0,1.0,0.0
1,1,0.02,4,1.0,43.3,10.507616285342742,0.0,0.0,1.0,0.0
1,1,0.05,5,1.0,49.8,15.451860729374957,0.0,0.0,1.0,0.0
0.01,0.01,0.001,6,1.0,53.2,24.140422531513405,0.0,0.0,1.0,0.0
0.01,0.01,0.002,5,1.0,45.2,6.968500556073739,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,46.1,14.279005567615695,0.0,0.0,1.0,0.0
0.01,0.01,0.01,4,1.0,46.0,7.962411694957753,0.0,0.0,1.0,0.0
0.01,0.01,0.02,5,1.0,43.1,15.430165261590687,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,48.7,17.49885710553692,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,43.0,15.453155017665487,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,1.0,41.6,7.774316690230725,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,45.6,8.912911982062877,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,55.0,16.2234398325386,0.0,0.0,0.9,0.1
0.02,0.02,0.02,5,1.0,45.4,4.386342439892261,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,1.0,44.2,7.467261881037788,0.0,0.0,1.0,0.0
0.05,0.05,0.001,5,0.9,52.4,17.516849031718003,0.1,0.0,0.9,0.0
0.05,0.05,0.002,5,1.0,46.9,13.780058055030104,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,47.3,10.909170454255447,0.0,0.0,1.0,0.0
0.05,0.05,0.01,5,1.0,55.0,16.321764610482532,0.0,0.0,1.0,0.0
0.05,0.05,0.02,6,0.9,49.7,17.041420128616043,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,1.0,58.4,19.381434415439948,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,41.9,14.672763884149434,0.0,0.0,1.0,0.0
0.1,0.1,0.002,4,1.0,45.0,17.703107071923842,0.0,0.0,0.9,0.1
0.1,0.1,0.005,5,1.0,56.5,18.418740456393863,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,46.5,9.330058949438637,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,0.9,49.6,16.877203559831827,0.1,0.0,0.9,0.0
0.1,0.1,0.05,5,1.0,40.9,10.396634070698074,0.0,0.0,1.0,0.0
0.2,0.2,0.001,5,0.9,52.4,17.124251808473268,0.1,0.0,0.9,0.0
0.2,0.2,0.002,5,1.0,42.3,9.252567211320326,0.0,0.0,1.0,0.0
0.2,0.2,0.005,4,0.9,47.0,18.69224438102605,0.1,0.0,0.9,0.0
0.2,0.2,0.01,5,1.0,49.0,13.557285864065861,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,1.0,50.1,15.565667348366405,0.0,0.0,1.0,0.0
0.2,0.2,0.05,5,1.0,43.0,7.54983443527075,0.0,0.0,1.0,0.0
0.5,0.5,0.001,4,1.0,51.4,17.344739836619055,0.0,0.0,1.0,0.0
0.5,0.5,0.002,4,1.0,48.2,16.54569430395715,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,1.0,42.0,8.820430828479978,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,44.3,5.235456045083369,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,45.4,12.491597175701754,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,41.0,10.75174404457249,0.0,0.0,1.0,0.0
1,1,0.001,5,1.0,44.7,15.421089455677247,0.0,0.0,1.0,0.0
1,1,0.002,5,1.0,47.5,10.519030373565807,0.0,0.0,1.0,0.0
1,1,0.005,5,1.0,47.0,13.446189051177289,0.0,0.0,1.0,0.0
1,1,0.01,5,1.0,48.3,15.505160431288674,0.0,0.0,1.0,0.0
1,1,0.02,5,0.9,44.9,19.5420060382756,0.1,0.0,0.9,0.0
1,1,0.05,5,0.9,51.5,19.89095271725314,0.1,0.0,0.9,0.0
0.01,0.01,0.001,5,0.9,43.3,19.28237537234456,0.1,0.0,0.9,0.0
0.01,0.01,0.002,5,1.0,45.4,11.77454882362802,0.0,0.0,1.0,0.0
0.01,0.01,0.005,5,1.0,43.2,10.007996802557443,0.0,0.0,1.0,0.0
0.01,0.01,0.01,5,1.0,42.6,9.840731680114036,0.0,0.0,1.0,0.0
0.01,0.01,0.02,4,1.0,48.1,13.322537295875737,0.0,0.0,1.0,0.0
0.01,0.01,0.05,5,1.0,48.8,20.0539272961682,0.0,0.0,1.0,0.0
0.02,0.02,0.001,5,1.0,41.4,7.901898506055364,0.0,0.0,1.0,0.0
0.02,0.02,0.002,5,1.0,45.2,10.740577265678043,0.0,0.0,1.0,0.0
0.02,0.02,0.005,5,1.0,42.5,12.7455874717488,0.0,0.0,1.0,0.0
0.02,0.02,0.01,5,1.0,45.7,8.820997676000149,0.0,0.0,1.0,0.0
0.02,0.02,0.02,5,1.0,42.8,19.124852940611074,0.0,0.0,1.0,0.0
0.02,0.02,0.05,5,0.8,47.0,25.095816384409574,0.2,0.0,0.8,0.0
0.05,0.05,0.001,5,1.0,41.1,12.242957159118053,0.0,0.0,1.0,0.0
0.05,0.05,0.002,5,1.0,42.5,7.526619427073485,0.0,0.0,1.0,0.0
0.05,0.05,0.005,5,1.0,41.3,12.033702672078947,0.0,0.0,1.0,0.0
0.05,0.05,0.01,4,1.0,51.5,14.78681845428556,0.0,0.0,1.0,0.0
0.05,0.05,0.02,5,0.9,51.7,19.04232128707002,0.1,0.0,0.9,0.0
0.05,0.05,0.05,5,1.0,50.9,14.102836594104039,0.0,0.0,1.0,0.0
0.1,0.1,0.001,5,1.0,53.3,19.16272423221709,0.0,0.0,1.0,0.0
0.1,0.1,0.002,5,1.0,44.0,8.037412518964047,0.0,0.0,1.0,0.0
0.1,0.1,0.005,5,1.0,53.5,16.841912005470164,0.0,0.0,1.0,0.0
0.1,0.1,0.01,5,1.0,41.6,8.511169132381285,0.0,0.0,1.0,0.0
0.1,0.1,0.02,5,1.0,50.5,14.221462653327892,0.0,0.0,1.0,0.0
0.1,0.1,0.05,5,0.9,44.4,18.906083676954356,0.1,0.0,0.9,0.0
0.2,0.2,0.001,5,1.0,48.0,5.513619500836088,0.0,0.0,1.0,0.0
0.2,0.2,0.002,5,1.0,49.6,15.793669617919706,0.0,0.0,1.0,0.0
0.2,0.2,0.005,5,1.0,45.9,13.201893803541976,0.0,0.0,1.0,0.0
0.2,0.2,0.01,5,1.0,42.8,8.292164976651152,0.0,0.0,1.0,0.0
0.2,0.2,0.02,5,0.9,51.2,20.15341162185698,0.1,0.0,0.9,0.0
0.2,0.2,0.05,5,0.9,49.1,18.565828826098766,0.1,0.0,0.9,0.0
0.5,0.5,0.001,5,1.0,57.3,18.428510520386613,0.0,0.0,1.0,0.0
0.5,0.5,0.002,5,1.0,44.9,7.555792479945436,0.0,0.0,1.0,0.0
0.5,0.5,0.005,5,1.0,49.2,12.544321424453376,0.0,0.0,1.0,0.0
0.5,0.5,0.01,5,1.0,43.4,8.720091742636656,0.0,0.0,1.0,0.0
0.5,0.5,0.02,5,1.0,43.1,11.237882362794158,0.0,0.0,1.0,0.0
0.5,0.5,0.05,5,1.0,47.5,15.73689931339716,0.0,0.0,1.0,0.0
1,1,0.001,5,1.0,50.5,12.427791436936813,0.0,0.0,1.0,0.0
1,1,0.002,5,1.0,42.0,7.183313998427188,0.0,0.0,1.0,0.0
1,1,0.005,5,1.0,48.4,12.043255373859678,0.0,0.0,1.0,0.0
1,1,0.01,5,1.0,42.8,13.673331708109767,0.0,0.0,1.0,0.0
1,1,0.02,5,1.0,51.7,16.523014252853503,0.0,0.0,1.0,0.0
1,1,0.05,5,1.0,44.8,10.196077677224709,0.0,0.0,1.0,0.0
