opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
1,1,0.1,3,1.0,49.4,18.095303258028032,0.0,0.0,0.2,0.8
1,1,0.2,3,1.0,49.3,17.844046626256052,0.0,0.0,0.0,1.0
1,1,0.5,3,0.9,57.7,22.547948908936263,0.1,0.0,0.1,0.8
0.01,0.01,0.001,3,1.0,40.5,9.881801455200362,0.0,0.0,0.0,1.0
0.01,0.01,0.01,3,1.0,43.6,13.085870242364471,0.0,0.0,0.0,1.0
0.01,0.01,0.05,3,1.0,40.5,12.10991329448729,0.0,0.0,0.2,0.8
0.01,0.01,0.1,3,1.0,47.3,17.641145087550296,0.0,0.0,0.0,1.0
0.01,0.01,0.2,3,1.0,52.2,22.736754385795702,0.0,0.0,0.0,1.0
0.01,0.01,0.5,3,1.0,45.0,19.026297590440446,0.0,0.0,0.1,0.9
0.02,0.02,0.001,3,0.8,60.8,26.584958153060914,0.2,0.0,0.2,0.6
0.02,0.02,0.01,3,1.0,52.6,24.972785187079154,0.0,0.0,0.1,0.9
0.02,0.02,0.05,3,0.9,55.5,24.97298540423231,0.1,0.0,0.2,0.7
0.02,0.02,0.1,7,0.9,54.1,21.865269264292174,0.1,0.0,0.2,0.7
0.02,0.02,0.2,3,1.0,65.4,24.666576576412055,0.0,0.0,0.1,0.9
0.02,0.02,0.5,3,1.0,54.2,23.53635485796388,0.0,0.0,0.0,1.0
0.05,0.05,0.001,3,0.9,55.2,21.562931155109688,0.1,0.0,0.1,0.8
0.05,0.05,0.01,3,0.9,50.4,18.97998946258928,0.1,0.0,0.0,0.9
0.05,0.05,0.05,3,1.0,44.9,22.219135896789506,0.0,0.0,0.2,0.8
0.05,0.05,0.1,7,1.0,48.6,20.105720578979508,0.0,0.0,0.0,1.0
0.05,0.05,0.2,3,0.8,56.2,27.40364939200617,0.2,0.0,0.0,0.8
0.05,0.05,0.5,3,1.0,51.8,15.63841424185969,0.0,0.0,0.0,1.0
0.1,0.1,0.001,3,0.8,60.3,24.70242903036056,0.2,0.0,0.1,0.7
0.1,0.1,0.01,3,1.0,42.2,14.681961721786365,0.0,0.0,0.3,0.7
0.1,0.1,0.05,7,1.0,57.7,25.250940576540906,0.0,0.0,0.4,0.6
0.1,0.1,0.1,3,1.0,53.4,21.987269043698902,0.0,0.0,0.3,0.7
0.1,0.1,0.2,3,0.9,54.2,21.216974336601343,0.1,0.0,0.0,0.9
0.1,0.1,0.5,3,0.9,49.6,24.067405344157894,0.1,0.0,0.0,0.9
0.2,0.2,0.001,3,1.0,49.1,16.59186547679314,0.0,0.0,0.0,1.0
0.2,0.2,0.01,3,1.0,43.8,16.172816699635224,0.0,0.0,0.1,0.9
0.2,0.2,0.05,3,1.0,48.9,17.558188972670273,0.0,0.0,0.1,0.9
0.2,0.2,0.1,3,1.0,40.0,10.059821071967434,0.0,0.0,0.2,0.8
0.2,0.2,0.2,3,1.0,49.5,16.292636373527767,0.0,0.0,0.1,0.9
0.2,0.2,0.5,3,1.0,48.0,20.0349694284768,0.0,0.0,0.2,0.8
0.5,0.5,0.001,3,1.0,44.2,14.358272876638054,0.0,0.0,0.0,1.0
0.5,0.5,0.01,7,1.0,52.8,25.88358553214759,0.0,0.0,0.0,1.0
0.5,0.5,0.05,3,1.0,45.5,13.603308421115798,0.0,0.0,0.1,0.9
0.5,0.5,0.1,3,1.0,43.0,14.649232061783989,0.0,0.0,0.0,1.0
0.5,0.5,0.2,3,1.0,51.3,22.86066490721562,0.0,0.0,0.0,1.0
0.5,0.5,0.5,7,1.0,57.5,22.92705825002414,0.0,0.0,0.0,1.0
1,1,0.001,7,1.0,53.5,25.184320518926057,0.0,0.0,0.0,1.0
1,1,0.01,7,1.0,39.5,13.54437152473307,0.0,0.0,0.0,1.0
1,1,0.05,3,0.9,63.2,30.344027418917218,0.1,0.0,0.3,0.6
1,1,0.1,3,1.0,60.3,26.836728563668114,0.0,0.0,0.3,0.7
1,1,0.2,7,0.8,60.3,23.945980873624702,0.2,0.0,0.0,0.8
1,1,0.5,3,0.9,50.0,20.074859899884732,0.1,0.0,0.1,0.8
0.01,0.01,0.001,3,0.9,58.4,24.795967414077637,0.1,0.0,0.1,0.8
0.01,0.01,0.01,7,1.0,64.6,26.496037439587074,0.0,0.0,0.1,0.9
0.01,0.01,0.05,3,1.0,41.0,13.70401401050072,0.0,0.0,0.0,1.0
0.01,0.01,0.1,3,1.0,50.5,15.831929762350514,0.0,0.0,0.0,1.0
0.01,0.01,0.2,3,1.0,59.7,19.25123372669918,0.0,0.0,0.2,0.8
0.01,0.01,0.5,3,1.0,43.5,9.08019823572151,0.0,0.0,0.2,0.8
0.02,0.02,0.001,5,1.0,35.8,6.2577951388648065,0.0,0.0,0.1,0.9
0.02,0.02,0.01,3,1.0,41.8,14.23938200906205,0.0,0.0,0.3,0.7
0.02,0.02,0.05,3,1.0,56.1,24.941732097029668,0.0,0.0,0.2,0.8
0.02,0.02,0.1,7,0.9,50.2,19.03050183258445,0.1,0.0,0.0,0.9
0.02,0.02,0.2,3,1.0,53.8,17.531685600648903,0.0,0.0,0.1,0.9
0.02,0.02,0.5,3,0.9,52.9,20.08706051168264,0.1,0.0,0.0,0.9
0.05,0.05,0.001,3,0.9,58.0,24.029148965371203,0.1,0.0,0.0,0.9
0.05,0.05,0.01,3,1.0,58.4,20.66494616494318,0.0,0.0,0.0,1.0
0.05,0.05,0.05,7,1.0,42.6,14.547852075134665,0.0,0.0,0.0,1.0
0.05,0.05,0.1,3,0.9,52.1,27.4534150881088,0.1,0.0,0.0,0.9
0.05,0.05,0.2,3,1.0,48.4,21.767866225241278,0.0,0.0,0.3,0.7
0.05,0.05,0.5,3,0.9,45.9,24.213426027722722,0.1,0.0,0.1,0.8
0.1,0.1,0.001,7,1.0,50.2,21.301643129110957,0.0,0.0,0.1,0.9
0.1,0.1,0.01,7,1.0,46.6,25.973832986296035,0.0,0.0,0.3,0.7
0.1,0.1,0.05,3,0.9,55.5,19.61249601657066,0.1,0.0,0.4,0.5
0.1,0.1,0.1,3,1.0,50.3,22.947984660967506,0.0,0.0,0.2,0.8
0.1,0.1,0.2,3,1.0,44.8,17.741476826916074,0.0,0.0,0.2,0.8
0.1,0.1,0.5,3,1.0,47.0,11.108555261599053,0.0,0.0,0.1,0.9
0.2,0.2,0.001,3,0.9,53.9,21.640009242142202,0.1,0.0,0.2,0.7
0.2,0.2,0.01,3,1.0,50.5,20.838665984174707,0.0,0.0,0.0,1.0
0.2,0.2,0.05,3,1.0,42.4,14.840485167271318,0.0,0.0,0.1,0.9
0.2,0.2,0.1,3,1.0,54.7,16.7633528865797,0.0,0.0,0.1,0.9
0.2,0.2,0.2,3,1.0,36.9,9.904039579888602,0.0,0.0,0.4,0.6
0.2,0.2,0.5,3,1.0,47.1,18.338211472223787,0.0,0.0,0.0,1.0
0.5,0.5,0.001,3,1.0,41.5,10.519030373565807,0.0,0.0,0.2,0.8
0.5,0.5,0.01,3,1.0,40.3,12.712592182556632,0.0,0.0,0.0,1.0
