opinion_param_1,opinion_param_2,msg_param,full_memory_time,proba_stab,avg_stab_time,std_stab_time,proba_no_stab,proba_consensus,proba_unipolarisation,proba_bipolarisation
0.1,0.1,0.01,4,1.0,17.2,7.277362159464101,0.0,0.0,0.0,1.0
0.1,0.1,0.05,4,1.0,16.8,3.6,0.0,0.0,0.0,1.0
0.1,0.1,0.1,4,1.0,19.5,2.80178514522438,0.0,0.0,0.0,1.0
0.1,0.1,0.2,6,1.0,15.7,2.9681644159311658,0.0,0.0,0.0,1.0
0.1,0.1,0.5,5,1.0,17.3,6.017474553332153,0.0,0.0,0.0,1.0
0.2,0.2,0.001,7,1.0,14.2,3.867815921162743,0.0,0.0,0.0,1.0
0.2,0.2,0.01,5,1.0,17.4,4.17612260356422,0.0,0.0,0.0,1.0
0.2,0.2,0.05,7,1.0,19.2,3.709447398198282,0.0,0.0,0.0,1.0
0.2,0.2,0.1,4,1.0,14.8,3.340658617698013,0.0,0.0,0.0,1.0
0.2,0.2,0.2,4,1.0,16.9,5.80430874437258,0.0,0.0,0.0,1.0
0.2,0.2,0.5,4,1.0,16.3,3.407345007480165,0.0,0.0,0.0,1.0
0.5,0.5,0.001,4,1.0,18.0,4.959838707054898,0.0,0.0,0.0,1.0
0.5,0.5,0.01,4,1.0,19.6,6.499230723708768,0.0,0.0,0.0,1.0
0.5,0.5,0.05,5,1.0,17.7,6.435060217278468,0.0,0.0,0.0,1.0
0.5,0.5,0.1,4,1.0,17.4,5.624944444170094,0.0,0.0,0.0,1.0
0.5,0.5,0.2,4,1.0,16.1,3.3000000000000003,0.0,0.0,0.0,1.0
0.5,0.5,0.5,5,1.0,15.9,3.9610604640676716,0.0,0.0,0.0,1.0
1,1,0.001,4,1.0,16.0,3.1622776601683795,0.0,0.0,0.0,1.0
1,1,0.01,4,1.0,15.9,3.3600595232822887,0.0,0.0,0.0,1.0
1,1,0.05,5,1.0,17.6,3.903844259188627,0.0,0.0,0.0,1.0
1,1,0.1,5,1.0,17.3,4.561797891182818,0.0,0.0,0.0,1.0
1,1,0.2,5,1.0,17.0,5.385164807134504,0.0,0.0,0.0,1.0
1,1,0.5,4,1.0,15.5,3.9812058474788765,0.0,0.0,0.0,1.0
0.01,0.01,0.001,4,1.0,17.0,3.255764119219941,0.0,0.0,0.0,1.0
0.01,0.01,0.01,7,1.0,15.6,3.4985711369071804,0.0,0.0,0.0,1.0
0.01,0.01,0.05,7,1.0,16.0,4.2895221179054435,0.0,0.0,0.0,1.0
0.01,0.01,0.1,7,1.0,17.2,5.653317610041028,0.0,0.0,0.0,1.0
0.01,0.01,0.2,5,1.0,16.9,3.806573262134856,0.0,0.0,0.0,1.0
0.01,0.01,0.5,4,1.0,19.1,4.182104733265297,0.0,0.0,0.0,1.0
0.02,0.02,0.001,5,1.0,17.6,5.063595560468865,0.0,0.0,0.0,1.0
0.02,0.02,0.01,5,1.0,16.4,6.726068688320095,0.0,0.0,0.0,1.0
0.02,0.02,0.05,5,1.0,18.0,3.1937438845342623,0.0,0.0,0.0,1.0
0.02,0.02,0.1,6,1.0,18.6,6.086049621881176,0.0,0.0,0.0,1.0
0.02,0.02,0.2,4,1.0,16.7,4.337049688440288,0.0,0.0,0.0,1.0
0.02,0.02,0.5,5,1.0,18.6,6.945502141674136,0.0,0.0,0.0,1.0
0.05,0.05,0.001,7,1.0,15.7,4.817675788178361,0.0,0.0,0.0,1.0
0.05,0.05,0.01,6,1.0,16.1,4.763402145525822,0.0,0.0,0.0,1.0
0.05,0.05,0.05,5,1.0,16.1,4.570557952810576,0.0,0.0,0.0,1.0
0.05,0.05,0.1,6,1.0,17.0,2.7202941017470885,0.0,0.0,0.0,1.0
